PlantId,PlantName,Cap_kW,District,Province,lat,lon,precision,source,matched_to
23,Panauti HP,2400.0,Kavrepalanchok,Province 1,27.5852,85.5193,river,"on Roshi Khola, nearest Kavrepalanchok",Roshi Khola
24,Trisuli  HP,24000.0,Nuwakot,Province 1,27.9215091,85.1460596,exact,OSM,Trishuli Hydropower Station
25,Gandak  HP,15000.0,Nawalparasi,Province 1,27.4266234,83.79297,exact,OSM,Gandak HEP
26,Sunkoshi  HP,10050.0,Sindhupalchok,Bagmati,27.7535511,85.8379801,exact,OSM,Sunkoshi Hydropower Station
27,Kulekhani-I  HP,60000.0,Makawanpur,Province 1,27.540412,85.114172,plus,"Google Maps G4R7+5M7, Bhimphedi 44100",
28,Devighat  HP,14100.0,Nuwakot,Province 1,27.8602,85.0945,river,"on Trisuli, nearest Nuwakot",Trisuli
29,Fewa (Pokhara)  HP,1088.0,Kaski,Province 1,28.182163,83.972234,plus,"Google Maps 5XJC+VV9, Unnamed Road, Pokhara 33700",
30,Tinau  HP,1024.0,Palpa,Province 1,27.8259,83.5816,river,"on Tinau Khola, nearest Palpa",Tinau Khola
31,Seti  HP,1500.0,Kaski,Province 1,28.1359,84.0703,river,"on Seti Nadi, nearest Kaski",Seti Nadi
32,Kulekhani-II  HP,32000.0,Makawanpur,Province 1,27.512688,85.047828,plus,"Google Maps G27X+34G, Bhaise 44100",
33,Jhimruk,12000.0,Pyuthan,Lumbini,28.0737002,82.8151819,exact,OSM,Jhimruk Hydropower
