S.N,Year Month,Metered Energy,Energy to R.E. (Local distribution),Internal Consumption,Total Energy Generation,Backfeed Energy From NEA,Backfeed Amount,Rate to NEA,R.E Rate (NRS),Invoice to NEA(NRS),Amount paid by NEA (NRs),Amount Deducted,Revenue From R.E (NRs) Local Distribution,Previous Due Royalty Chargeable Rs,Royalty Amount,col,PlantId,FiscalId,Plant,FiscalYear,Additional Energy,Transmission Loss,Seasional Rate,Billed Amount to NEA,Amount paid by NEA Rs,Late COD & Other Fine Rs,Short Supply,Remarks,Seasional Rate (USD),Exchange Rate,Invoice to NEA(USD),Amount paid by NEA (USD)
12,2081/2,0.00,,,0.00,1060.00,,,,,,,,0.00,0.0,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,,,0.00,,0.00,,,"कम्पनीले यस महिना ने.वि.प्रा.लाई विद्युत उपलब्ध नगराएको व्यहोराको मेमो प्राप्त भएको । backfeed amount Rs.11,448(1060kw@10.80) आगामी बिलबाट कट्टा गरिने जानकारी ।",,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,976432.09,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,420000.0,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,1436506.54,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,444441.71,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2078/3,648675.00,,,1663490.00,400.00,4320.00,,,,,,,7685092.70,153701.85,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,1014815.00,,3.90,6670291.96,7680772.70,,,,,,,
2,2078/4,691200.00,,,2030660.00,670.00,7236.00,,,,,,,9500136.80,190002.74,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,1339460.00,,3.90,9513312.80,9492900.80,,,,,,,
3,2078/5,427680.00,,,1581220.00,1970.00,21276.00,,,,,,,7527935.20,150558.7,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,1153540.00,,3.90,7244521.60,7506659.20,,,,,,,
4,2078/6,669000.00,,,2356000.00,240.00,2592.00,,,,,,,11179060.00,223581.2,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,1687000.00,,3.90,11176468.00,11176468.00,,,,,,,
5,2078/7,648000.00,,,1954500.00,20.00,216.00,,,,,,,9164220.00,183284.4,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,1306500.00,,3.90,9164004.00,9164004.00,,,,,,,
6,2078/8,669000.00,,,988600.00,470.00,5076.00,,,,,,,4232668.00,84653.36,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,319600.00,,3.90,4227484.00,4227592.00,,,,,,,
7,2078/9,669000.00,,,724890.00,40.00,432.00,,,,,,,4189742.10,83794.84,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,55890.00,,5.52,4189310.00,4189310.10,,,,,,,
8,2078/10,477370.00,,,477370.00,400.00,4320.00,,,,,,,2634758.40,52695.17,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,,,,,2630438.40,,,,,,,
9,2078/11,421270.00,,,421270.00,220.00,2376.00,,,,,,,2324870.40,46497.41,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,,,,,2322494.40,,,,,,,
10,2078/12,347650.00,,,347650.00,60.00,648.00,,,,,,,1919028.00,38380.56,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,,,,,1918380.00,,,,,,,
11,2079/1,157230.00,,,157230.00,2360.00,25488.00,,,,,,,613197.00,12263.94,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,,,,,587709.00,,,,,,,
12,2079/2,214080.00,,,214080.00,3880.00,41904.00,,,,,,,834912.00,16698.24,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,,,3.90,,793008.00,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,1236112.41,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,420000.0,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,2126225.03,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,2457425.56,,86,15,"Baramchi Khola HPP , 4200 kW",078/79,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2079/3,669600.00,,,1549710.00,1740.00,18792.00,,,,,,,7082398.80,141647.98,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,880110.00,,3.90,,7063606.80,,,,,,,
2,2079/4,669600.00,,,1601220.00,1190.00,12852.00,,,,,,,7344069.60,146881.39,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,931620.00,,3.90,,7331217.60,,,,,,,
3,2079/5,648000.00,,,2273203.20,730.00,7884.00,,,,,,,10782403.20,215648.06,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,1625203.20,,3.90,,10774519.20,,,,,,,
4,2079/6,669000.00,,,2560470.00,40.00,432.00,,,,,,,12217767.60,244355.35,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,1891470.00,,3.90,,12217335.60,,,,,,,
5,2079/7,648000.00,,,1767660.00,460.00,4968.00,,,,,,,8215072.80,164301.46,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,1119660.00,,3.90,,8210104.80,,,,,,,
6,2079/8,669000.00,,,894300.00,230.00,2484.00,,,,,,,3753624.00,75072.48,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,225300.00,,3.90,,3751140.00,,,,,,,
7,2079/9,481340.00,,,481340.00,520.00,5616.00,,,,,,,2656996.80,53139.94,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,,,5.52,,2651380.80,,,,,,,
8,2079/10,508360.00,,,508360.00,10.00,108.00,,,,,,,2806147.20,56122.94,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,0.00,,5.52,,2806039.20,,,,,,,
9,2079/11,412320.00,,,412320.00,30.00,324.00,,,,,,,2276006.40,45520.13,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,,,5.52,,2275682.40,,,,,,,
10,2079/12,357800.00,,,357800.00,30.00,324.00,,,,,,,1975056.00,39501.12,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,,,5.52,,1974732.00,,,,,,,
11,2080/1,280010.00,,,280010.00,60.00,648.00,,,,,,,1092039.00,21840.78,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,,,3.90,,1091391.00,,,,,,,
12,2080/2,256850.00,,,256850.00,1330.00,14364.00,,,,,,,1001715.00,20034.3,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,,,3.90,,987351.00,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,1224065.93,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,420000.0,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,3616975.33,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,484516.16,,86,16,"Baramchi Khola HPP , 4200 kW",079/80,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2077/3,648675.00,,,948980.00,1770.00,19116.00,,,,,,,4029070.40,80581.41,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,300305.00,,3.90,4009954.40,4009954.40,,,,,,,
2,2077/4,691200.00,,,2509710.00,240.00,2592.00,,,,,,,11933710.80,238674.22,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,1818510.00,,3.90,11956282.80,11931118.80,,,,,,,
3,2077/5,648000.00,,,2100720.00,680.00,7344.00,,,,,,,98228750.61,1964575.01,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,1452720.00,,3.90,9899241.60,98221406.61,,,,,,,
4,2077/6,647419.35,,,2234430.00,230.00,2484.00,,,,,,,10561376.40,211227.53,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,1587010.65,,3.90,10558892.40,10558892.40,,,,,,,
5,2077/7,648000.00,,,1278750.00,130.00,1404.00,,,,,,,4984908.06,99698.16,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,630750.00,,3.90,5730006.00,4983504.06,,746501.94,,,,,
6,2077/8,645600.00,,,645600.00,810.00,8748.00,,,,,,,1345563.23,26911.26,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,,,3.90,2508984.00,1336815.23,,1172276.77,,,,,
7,2077/9,545420.00,,,545420.00,50.00,540.00,,,,,,,201600.13,4032.0,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,,,5.52,3010178.40,201060.13,,2798570.27,,,,,
8,2077/10,406660.00,,,406660.00,50.00,540.00,,,,,,,2006485.24,40129.7,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,,,5.52,2244223.20,2005945.24,,,,,,,
9,2077/11,293560.00,,,293560.00,940.00,11556.00,,,,,,,11556.00,231.12,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,,,5.52,1608895.20,0.00,,1620451.20,,,,,
10,2077/12,2000.00,,,2000.00,61700.00,666360.00,,,,,,,666360.00,13327.2,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,,,5.52,591758.40,0.00,,11040.00,,,,,
11,2078/1,0.00,,,0.00,360.00,3888.00,,,,,,,3888.00,77.76,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,,,,0.00,0.00,,,,,,,
12,2078/2,0.00,,,0.00,7680.00,82944.00,,,,,,,82944.00,1658.88,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,,,,-82944.00,0.00,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,2681124.25,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,420000.0,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,0.0,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,2927538.18,,86,14,"Baramchi Khola HPP , 4200 kW",077/78,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2081/3,546353.07,,,546353.07,590.00,6372.00,,,,,,,2130776.98,42615.54,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,,,3.90,,2124404.98,,,,,,,
2,2081/4,691200.00,,,937431.93,560.00,6048.00,,,,,,,3946538.19,78930.76,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,246231.93,,3.90,,3940490.19,,,,,,,
3,2081/5,648000.00,,,2005358.63,286.88,3098.25,,,,,,,9422581.85,188451.64,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,1357358.63,,3.90,,9419483.60,,,lately received memo,,,,
4,2081/6,647419.35,,,2192659.06,286.88,3098.25,,,,,,,10374753.22,207495.06,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,1545239.71,,3.90,,10371654.97,,,lately received memo,,,,
5,2081/7,648000.00,,,1680401.25,,,,,,,,,7771798.33,155435.97,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,1032401.25,,3.90,,7771798.33,,,lately received memo,,,,
6,2081/8,692068.97,,,893247.39,,,,,,,,,3721055.34,74421.11,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,201178.42,,3.90,,3721055.34,,,lately received memo,,,,
7,2081/9,627880.00,,,627880.00,160.00,1728.00,,,,,,,3465897.60,69317.95,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,,,5.52,,3464169.60,,,lately received memo,,,,
8,2081/10,324510.00,,,324510.00,1050.00,11340.00,,,,,,,1791295.20,35825.9,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,,,5.52,,1779955.20,,,,,,,
9,2081/11,304190.00,,,304190.00,300.00,3240.00,,,,,,,1679128.80,33582.58,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,,,5.52,,1675888.80,,,,,,,
10,2081/12,319260.00,,,319260.00,30.00,324.00,,,,,,,1762315.20,35246.3,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,,,5.52,,1761991.20,,,,,,,
11,2082/1,245750.00,,,245750.00,490.00,5292.00,,,,,,,958425.00,19168.5,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,,,3.90,,953133.00,,,,,,,
12,2082/2,206440.00,,,206440.00,1390.00,15012.00,,,,,,,805116.00,16102.32,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,,,3.90,,790104.00,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,956593.63,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,420000.0,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,1406534.81,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,414500.53,,86,18,"Baramchi Khola HPP , 4200 kW",081/82,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2075/1,279060.00,,0.00,279060.00,70.00,756.00,,,,,,,682958.00,13659.16,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,3.90,0.00,682202.02,405375.98,,,,,,
2,2075/2,225420.00,,0.00,225420.00,360.00,3888.00,,,,,,,3888.00,77.76,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,3.90,0.00,0.00,879138.00,,,,,,
3,2075/3,0.00,,0.00,0.00,0.00,30888.00,,,,,,,30888.00,617.76,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,0.00,305916.43,0.00,0.00,,,,,,
4,2075/4,1924590.00,,0.00,1924590.00,1030.00,11124.00,,,,,,,6345902.08,126918.04,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,3.90,0.00,5821778.08,1672998.92,,,,,,
5,2075/5,1744110.00,,0.00,1744110.00,1620.00,17496.00,,,,,,,7817657.00,156353.14,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,3.90,0.00,7800161.40,16682.67,,,,,,
6,2075/6,1744110.00,,0.00,1744110.00,250.00,2700.00,,,,,,,10836382.00,216727.64,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,4.96,0.00,10833682.10,0.00,,,,,,
7,2075/7,1334010.00,,0.00,1334010.00,250.00,2700.00,,,,,,,4102956.00,82059.12,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,4.96,0.00,4100256.29,0.00,,,,,,
8,2075/8,770600.00,,0.00,770600.00,60.00,648.00,,,,,,,3068556.00,61371.12,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,4.96,0.00,3067907.52,379689.98,,,,,,
9,2075/9,568390.00,,0.00,568390.00,123.70,1836.00,,,,,,,1836.00,36.72,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,5.52,0.00,0.00,3137512.80,,,,,,
10,2075/10,414180.00,,0.00,414180.00,30.00,324.00,,,,,,,497503.00,9950.06,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,5.52,0.00,497178.78,1788770.82,,,,,,
11,2075/11,350010.00,,0.00,350010.00,30.00,324.00,,,,,,,506095.00,10121.9,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,5.52,0.00,505770.97,1425960.23,,,,,,
12,2075/12,277200.00,,0.00,277200.00,173.70,1875.96,,,,,,,275525.00,5510.5,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,0.00,0.00,5.52,0.00,273649.28,1425960.23,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,683402.92,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,420000.0,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,2420000.0,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,-1316597.08,,86,11,"Baramchi Khola HPP , 4200 kW",075/76,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2082/3,669600.00,,,1374851.80,1130.00,12204.00,,,,,,,6194119.13,123882.38,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,705251.80,,3.90,,6181915.13,,,,,,,
2,2082/4,669600.00,,,1609692.28,780.00,8424.00,,,,,,,7387108.81,147742.18,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,940092.28,,3.90,,7378684.81,,,,,,,
3,2082/5,648000.00,,,1311658.73,1560.00,16848.00,,,,,,,5898586.33,117971.73,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,663658.73,,3.90,,5881738.33,,,,,,,
4,2082/6,669000.00,,,2197379.84,120.00,1296.00,,,,,,,10373269.60,207465.39,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,1528379.84,,3.90,,10371973.60,,,,,,,
5,2082/7,648000.00,,,1905321.09,10.00,108.00,,,,,,,8914391.16,178287.82,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,1257321.09,,3.90,,8914283.16,,,,,,,
6,2082/8,669000.00,,,960872.11,60.00,648.00,,,,,,,4091810.31,81836.21,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,291872.11,,3.90,,4091162.31,,,,,,,
7,2082/9,669000.00,,,670601.24,60.00,648.00,,,,,,,3707115.01,74142.3,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,1601.24,,5.52,,3706467.01,,,,,,,
8,2082/10,481014.39,,,481014.39,277.66,2678.51,,,,,,,2655199.41,53103.99,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,,,5.52,,2652520.90,,,,,,,
9,2082/11,391517.30,,,391517.30,350.00,3780.00,,,,,,,2161175.51,43223.51,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,,,5.52,,2157395.51,,,,,,,
10,2082/12,388876.14,,,388876.14,20.00,216.00,,,,,,,2146596.28,42931.93,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,,,5.52,,2146380.28,,,,,,,
11,2083/1,312514.60,,,312514.60,30.00,324.00,,,,,,,1218806.94,24376.14,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,,,3.90,,1218482.94,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,1094963.58,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,0.0,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,1442126.23,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,-347162.65,,86,19,"Baramchi Khola HPP , 4200 kW",082/83,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2076/3,855950.00,,0.00,855950.00,1580.00,17064.00,,,,,,,806555.88,16131.12,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,,3535736.00,789491.88,2751360.62,,,,,,
2,2076/4,2338390.00,,0.00,2338390.00,530.00,5724.00,,,,,,,10998842.46,219976.85,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,3.90,11088893.00,10993118.46,64562.74,,,,,,
3,2076/5,2302760.00,,0.00,2302760.00,360.00,3888.00,,,,,,,10687817.66,213756.35,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,3.90,10933380.80,10683929.66,245563.14,,,,,,
4,2076/6,1992480.00,,0.00,1992480.00,1070.00,11556.00,,,,,,,2568221.54,51364.43,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,5.52,9332378.00,2556665.54,,,,,,,
5,2076/7,1310050.00,,0.00,1310050.00,40.00,432.00,,,,,,,5340150.36,106803.01,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,5.52,6972292.00,5339718.36,550263.64,,,,,,
6,2076/8,886840.00,,0.00,886840.00,40.00,432.00,,,,,,,477153.65,9543.07,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,5.52,3715727.00,476721.65,2248887.55,,,,,,
7,2076/9,423980.00,,0.00,423980.00,980.00,10584.00,,,,,,,21132.00,422.64,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,5.52,2340369.00,10548.00,2340369.00,,,,,,
8,2076/10,419480.00,,0.00,419480.00,20.00,216.00,,,,,,,1910486.28,38209.73,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,5.52,2315529.00,1910270.28,1793488.56,,,,,,
9,2076/11,332080.00,,0.00,332080.00,60.00,648.00,,,,,,,298444.66,5968.89,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,5.52,1832325.00,297796.66,1534636.94,,,,,,
10,2076/12,337880.00,,0.00,337880.00,140.00,1512.00,,,,,,,945432.48,18908.65,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,3.90,1865097.60,943920.48,919664.12,,,,,,
11,2077/1,390130.00,,0.00,390130.00,170.00,1836.00,,,,,,,1521507.00,30430.14,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,3.90,1521507.00,1519671.00,0.00,,,,,,
12,2077/2,0.00,,0.00,0.00,4100.00,44280.00,,,,,,,574788.00,11495.76,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,0.00,0.00,3.90,530508.00,530508.00,0.00,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,723010.64,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,420000.0,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,0.0,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,-173586.43,,86,12,"Baramchi Khola HPP , 4200 kW",076/77,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2080/3,0.00,,,,,,,,,,,,,,,43,17,"Bhairav kunda khola Small HP , 3000 kW",080/81,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,0.0,,43,17,"Bhairav kunda khola Small HP , 3000 kW",080/81,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,300000.0,,43,17,"Bhairav kunda khola Small HP , 3000 kW",080/81,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,0.0,,43,17,"Bhairav kunda khola Small HP , 3000 kW",080/81,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,1288256.88,,43,17,"Bhairav kunda khola Small HP , 3000 kW",080/81,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
